"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "JSON", "JavaScript", "CSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Specification\page.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 0, 14, 92
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Storage\page.tsx", "TypeScript JSX", 0, 0, 129, 0, 0, 0, 0, 0, 0, 16, 145
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 196, 0, 0, 0, 12, 208
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\layout.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\page.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\service\order.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 12, 81
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\service\specifications.tsx", "TypeScript JSX", 0, 0, 49, 0, 0, 0, 0, 0, 0, 14, 63
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\service\storage.tsx", "TypeScript JSX", 0, 0, 91, 0, 0, 0, 0, 0, 5, 17, 113
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\tailwind.config.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 19, 1289, 59, 8, 196, 446, 2, 11, 351, 2407
